1018,politics
1319,tech
1138,sport
459,entertainment
1020,politics
51,business
2025,politics
1479,entertainment
27,entertainment
397,business
1644,politics
263,entertainment
765,politics
2134,tech
297,sport
1712,sport
1631,business
942,tech
1549,sport
516,business
2215,politics
531,politics
1541,politics
1340,tech
56,business
2138,sport
338,politics
133,entertainment
215,sport
521,business
1777,business
185,sport
2105,business
1556,tech
659,business
1837,business
59,business
383,sport
1581,sport
2167,sport
1593,business
1849,business
1691,entertainment
2033,sport
2092,tech
849,sport
1780,politics
1747,business
1509,politics
1305,business
2055,business
2139,politics
57,politics
1496,politics
671,sport
1193,politics
2104,tech
872,entertainment
606,politics
1502,tech
244,business
381,business
1944,entertainment
725,business
369,business
211,entertainment
1861,sport
1044,tech
976,entertainment
1673,business
442,politics
144,business
1954,business
48,politics
608,sport
2165,business
913,business
1580,politics
1061,tech
529,entertainment
2137,politics
1284,sport
2040,entertainment
349,sport
1385,politics
1307,politics
807,business
333,entertainment
786,politics
1775,politics
558,sport
592,business
2172,entertainment
1735,business
1188,politics
511,politics
157,business
646,sport
8,business
821,business
1001,tech
309,politics
1732,politics
1291,sport
2136,business
999,politics
1258,tech
721,business
1922,business
954,entertainment
847,business
846,entertainment
313,business
1997,business
322,tech
1221,tech
129,politics
981,business
330,politics
1172,politics
2123,entertainment
1165,politics
1592,sport
2094,business
841,entertainment
1224,sport
72,politics
1176,tech
1285,business
1671,sport
67,tech
952,politics
884,business
2011,entertainment
1979,business
519,entertainment
1132,politics
1782,entertainment
112,business
1996,business
683,entertainment
1447,entertainment
472,politics
562,entertainment
1476,politics
1339,business
1972,entertainment
875,politics
1067,sport
1442,entertainment
708,sport
515,sport
118,sport
1513,entertainment
1227,politics
1196,sport
635,sport
1669,politics
1823,business
483,politics
1477,politics
509,tech
667,business
127,tech
1316,politics
1983,sport
598,politics
1654,politics
1232,politics
703,politics
2051,politics
451,politics
1924,entertainment
852,tech
1889,business
1695,politics
417,business
2125,sport
2087,sport
1274,tech
579,business
